Date,Bank,Account,Description,Amount,Type,Category,Receipt,Notes,Income streams,Ungrouped
10/13/25,"Capital One","Spark Cash","Ingram Micro",-4.15,Business,"Memberships/subscriptions",N,
10/13/25,"Capital One","Spark Cash","Grn Valley Drop",-69.44,Business,"Advertising",N,
10/13/25,"Capital One","Spark Cash","Py Pinkbox Primm",-17.78,Business,"Gas and fuel",N,
10/13/25,"Capital One","Spark Cash","CANTINA",-35.94,Business,"Advertising",N,
10/13/25,"Capital One","Spark Cash","ELLIS ISLAND",-47.02,Business,"Advertising",N,
10/13/25,"Capital One","Spark Cash","Raising Canes",-13.04,Personal,"Restaurants",N,
10/13/25,"Capital One","Venture","Amazon Fresh",-24.2,Personal,"Groceries",N,
10/13/25,"Capital One","Venture","Lyft",-22.74,Business,"Travel expenses",N,
10/13/25,"Capital One","Venture","Lyft",-34.37,Business,"Travel expenses",N,
10/11/25,"Capital One","Spark Cash","Chevron",-31.88,Business,"Gas and fuel",N,
10/11/25,"Capital One","Spark Cash","Ingram Micro",-224.28,Business,"Memberships/subscriptions",N,
10/11/25,"Capital One","Spark Cash","Hangout",-58.35,Personal,"Restaurants",N,
10/11/25,"Capital One","Spark Cash","Chevron",-25.65,Business,"Gas and fuel",N,
10/10/25,"Capital One","Spark Cash","Microsoft",-6.24,Business,"Apps/software/web services",N,
10/10/25,"Capital One","Spark Cash","Microsoft",-29.32,Business,"Apps/software/web services",N,
10/10/25,"Capital One","Spark Cash","Capital One Online",2327.68,Business,"Credit card payment",N,
10/10/25,"Capital One","Venture","Amazon",-18.4,Business,"Materials & Supplies",N,
10/10/25,"Capital One","Venture","Jack in the Box",-7.96,Personal,"Restaurants",N,
10/10/25,"Wells Fargo Bank","Initiate Business Checking��","Business To Business",-2327.68,Business,"Credit card payment",N,
10/10/25,"Wells Fargo Bank","Initiate Business Checking��","Kdit Llc Receivable",8500,Business,"Income",N,
10/10/25,"Wells Fargo Bank","checking","DMV",-165,Business,"Vehicle registration",N,
10/9/25,"Wells Fargo Bank","Initiate Business Checking��","Barclaycard Us Susan",-1094.82,Business,"Credit card payment",N,
10/9/25,"Wells Fargo Bank","Initiate Business Checking��","Zelle Nath Rigel",-1280,Business,"Contract labor",N,
10/9/25,"Wells Fargo Bank","checking","Venmo",-40,Business,"Legal and professional services",N,
10/9/25,"Wells Fargo Bank","checking","Anpac Quentin Halsey",181.38,Personal,"Income",N,
10/9/25,"Capital One","Spark Cash","Romano",-134.79,Business,"Advertising",N,
10/9/25,"Capital One","Venture","Beauty Center",-49.42,Personal,"Personal Care",N,
10/9/25,"Capital One","Venture","Amazon",-27.95,Business,"Materials & Supplies",N,
10/9/25,"Capital One","Venture","Trader Joe's",-58.12,Personal,"Groceries",N,
10/8/25,"Wells Fargo Bank","Initiate Business Checking��","ATM Withdrawal",-500,Business,"Travel expenses",N,
10/8/25,"Wells Fargo Bank","checking","Socalgas",-21.58,Business,"Utilities",N,
10/8/25,"Wells Fargo Bank","checking","Anpac Susan Halsey",219.56,Personal,"Auto Insurance",N,
10/8/25,"Barclays Credit Card (USA)","My HawaiianMiles","Received",1094.82,Business,"Credit card payment",N,
10/8/25,"Capital One","Spark Cash","Ingram Micro",-17.46,Business,"Memberships/subscriptions",N,
10/7/25,"Capital One","Spark Cash","Ingram Micro",-17.01,Business,"Memberships/subscriptions",N,
10/7/25,"Capital One","Spark Cash","Laz Parking",-17.5,Business,"Parking and tolls",N,
10/7/25,"Capital One","Spark Cash","Cash Auto Redemption",25,Business,"Credit card payment",N,
10/7/25,"Capital One","Spark Cash","Elks",-20.97,Business,"Meals",N,
10/7/25,"Capital One","Venture","Trader Joe's",-24.35,Personal,"Groceries",N,
10/7/25,"Wells Fargo Bank","Initiate Business Checking��","Edeposit In Branch",2783.07,Business,"Income",N,
10/7/25,"Wells Fargo Bank","checking","Venmo Cashout Sue",119.61,Personal,"Transfer",N,
10/7/25,"Wells Fargo Bank","checking","Venmo",-316,Business,"Advertising",N,"Concert with clients"
10/7/25,"Amazon Visa (Chase)","CREDIT CARD","Amazon",-133.28,Business,"Materials & Supplies",N,
10/6/25,"Capital One","Spark Cash","Domino's Pizza",-40.87,Business,"Advertising",N,
10/6/25,"Capital One","Spark Cash","Ingram Micro",-34.16,Business,"Memberships/subscriptions",N,
10/6/25,"Capital One","Spark Cash","Ingram Micro",-61.08,Business,"Memberships/subscriptions",N,
10/6/25,"Capital One","Venture","Amazon Fresh",-64.42,Personal,"Groceries",N,
10/6/25,"Capital One","Venture","Donation",-25,Business,"Other business expenses",N,
10/6/25,"Capital One","Venture","Instacart",-67.75,Personal,"Groceries",N,
10/6/25,"Capital One","Venture","Amazon Fresh",-15.84,Personal,"Groceries",N,
10/6/25,"Capital One","Venture","Fifty Five",-38.62,Business,"Meals",N,
10/6/25,"Capital One","Venture","Del Taco",-13.77,Personal,"Restaurants",N,
10/6/25,"Capital One","Venture","Instacart",-1.28,Personal,"Groceries",N,
10/6/25,"Wells Fargo Bank","Initiate Business Checking��","Online Transfer Halsey",-3500,Business,"Transfer",N,
10/6/25,"Wells Fargo Bank","checking","AT&T",-245.74,Business,"Utilities",N,
10/6/25,"Wells Fargo Bank","checking","Online Transfer A",3500,Business,"Transfer",N,
10/4/25,"Capital One","Venture","Huntington Beach Reiki",-142.3,Business,"Utilities",N,
10/4/25,"Capital One","Venture","Albertsons",-97.19,Personal,"Groceries",N,
10/4/25,"Capital One","Venture","Amazon",-21.54,Business,"Materials & Supplies",N,
10/4/25,"Capital One","Venture","Ici Fee",-4.27,Business,"Transaction/processing fees",N,
10/4/25,"Capital One","Venture","Amazon",-22.62,Business,"Materials & Supplies",N,
10/4/25,"Amazon Visa (Chase)","CREDIT CARD","Amazon",-26.93,Business,"Materials & Supplies",N,
10/3/25,"Capital One","Spark Cash","Peacock Cb Premium",-10.99,Personal,"Entertainment",N,
10/3/25,"Capital One","Venture","Trader Joe's",-60.17,Personal,"Groceries",N,
10/3/25,"Wells Fargo Bank","checking","Check 115",-180,Business,"Repairs and maintenance",N,
